Pair	SRR607214	SRR615261	SRR603068	SRR821282	SRR608096	SRR612839	SRR816609	SRR821518	SRR607679	SRR809283	SRR808044	SRR598671	SRR598509	SRR600784	SRR813208	SRR821573	SRR810945	SRR811819	SRR820689	SRR602106	SRR607166	SRR598044	SRR614287	SRR811029	SRR815280	SRR820839	SRR603834	SRR808836	SRR598124	SRR817306	SRR598148	SRR603750	SRR601695	SRR615790	SRR819771	SRR807949	SRR820234	SRR810899	SRR602951	SRR815494	SRR809785	SRR814003	SRR820316	SRR821525	SRR815044	SRR812080	SRR810761	SRR818850
SRR808044	57.01	61.24	56.98	55.5	60.09	53.69	60.37	55.91	60.76	85.62	100	95.42	92.4	94.99	91.98	96.23	44.54	49.47	49.15	51.31	52.8	48.58	51.81	50.16	51.47	48.96	53.06	64.86	60.63	61.63	59.21	61.01	57.72	64.24	62.5	66.03	63.8	63.37	63.07	61.54	63.91	62.54	57.38	65.6	56.13	63.54	58.52	65
SRR598671	58.97	64.07	60.74	59.92	60.49	59.18	63.67	61.25	64.47	90.13	97.71	100	96.31	97.76	94.89	98.04	48.1	51.29	52.22	57.4	59.46	55.34	56.5	55	56.28	54.42	56.75	65.19	66.13	63.48	58.61	61.83	59.67	62.13	64.39	65.56	62.34	62.66	63.37	61.93	63.26	65.78	62.95	64.2	60.48	64.04	65.61	65.81
SRR598509	54.09	56.25	53.37	53.37	54.87	52.2	56.82	54.34	53.61	91.21	96.09	96.7	100	97.1	95.22	96.66	47.29	45.33	47.41	49.32	48.72	48.18	48.1	48.53	48.32	45.83	48.05	56.67	56.47	57.06	55.93	56.98	53.09	56.28	55.56	56.98	55.49	55.49	55.8	64.35	61.54	61.36	59.06	61.87	60.5	61.15	62.3	64.57
SRR600784	57.18	57.34	57.06	51.48	55.41	50.54	55.9	53.11	57.58	85.44	91.83	93.36	90.6	100	89.54	92.96	41.43	48.43	48.67	48.87	55.39	47.15	54.04	46.32	47.44	46.89	53.64	57.68	57.03	57.68	55.12	59.46	56.56	59.57	57.49	59.43	58.17	59.37	58.72	59.32	61.94	60.5	58.42	62.9	54.17	62.07	59.33	61.83
SRR813208	59.66	61.54	57.59	58.47	60.88	56.12	61.1	62.1	61.56	83.37	90.77	93.24	92	94.46	100	94.94	42.93	44.72	48.91	50.53	53.48	44.44	52.92	52.98	52.25	51.7	54.62	60.62	61.89	66.16	60.62	62.57	59.22	63.68	65.8	66.51	65.43	65.44	64.21	63.06	64.33	63.16	64.48	64.39	61.19	65.97	63.36	67.66
SRR821573	57.78	62.74	59.86	57.31	61.32	56.39	64.03	62.63	63.59	83.07	92.97	93.73	91.14	93.1	90.29	100	42.62	48.02	52.31	54.25	56.52	50.55	56.11	53.99	53.52	54.63	60.64	61.81	60	63.24	59.44	60.21	58.59	62.76	64.33	66.62	62.46	63.48	60.45	61.57	64.71	62.74	60.11	65.37	56.93	65.02	62.86	65.54
SRR810945	57.86	59.84	55.79	57.14	52.76	55.45	53.23	53.15	54.33	67.04	65.16	66.92	63.78	64.81	63.27	64.6	100	95.83	96.61	94.01	95.39	94.51	93.12	95.31	92.28	94.92	94.26	65.65	69.49	69.77	66.94	66.92	66.32	65.89	63.11	67.16	66.15	64.39	64.57	68.18	64.79	67.16	65.08	67.24	62.5	69.54	65.44	64.71
SRR811819	62.75	63.5	65.73	67.32	65.45	68.16	68.59	64.79	65.86	62.89	65.99	69.39	65.44	68.75	65.13	68.94	94.07	100	96.15	96.42	96.44	97.37	95.99	94.31	93.64	96.55	94.72	66.05	70.56	68.02	73.02	70.45	69.57	70.25	70.05	71.62	68.15	68.77	66.67	59.66	66.21	68.68	66.53	66.29	66.99	68.99	61.8	65.46
SRR820689	64.39	68.89	67.1	66.86	69.77	64.74	67.23	66.48	69.7	63.01	67.74	69.28	67.97	67	65.17	68.5	94.39	95.58	100	97.4	98.92	97.61	96.46	97.03	95.18	96.04	96.91	68.98	70.99	69.07	68.52	68	69.74	69.52	69.35	73	71.35	70.47	70.81	69.75	71.84	73.93	73.47	74.3	71.18	73.02	70.23	71.14
SRR602106	61.9	62.93	59.52	66.09	59.35	59.9	62.15	63.93	67.16	69.44	76.57	75.74	70.14	74.59	74.42	74.87	91.7	96.22	97.25	100	98.55	97.39	96.81	96.57	95.38	95.28	98.54	73.85	72.67	72.68	65.92	71.82	64.5	70.68	73.56	75.13	70.24	71.88	71.88	67.32	67.11	70	60.81	68.16	64.9	69.43	66.99	67.45
SRR607166	61.43	60.83	60.87	58.57	63.93	61.65	63.61	63.22	62.24	63.08	65.02	70.34	67.28	66.67	62.61	69.57	89.88	92.75	93.8	96.15	100	95.28	93.97	92.46	88.37	93.57	95.76	65.62	68.4	66.67	66.67	66.85	63.16	66.07	66.25	70.21	62.38	66.26	65.59	65.82	66.51	68.66	66.57	70.74	66.44	69.46	64.24	69.27
SRR598044	58.33	57.99	58.44	56.64	60.98	63.91	59.56	56.6	61.4	64.89	72.33	70.32	70.64	71.17	69.5	70	93.19	95.74	96.49	96.94	97.61	100	96.73	95.93	95.55	96.36	98.26	66.46	68.89	65.16	64.83	65.28	65.52	63.31	69.12	70.55	63.64	65.09	61.64	66.67	64.48	66.15	62.31	65	63.73	64.92	63.98	63.78
SRR614287	66.85	66	65.45	67.12	70.37	67.36	68.72	67.01	69.91	62.05	65.78	69.43	65.52	69	67.04	70.7	88.29	93.88	93.82	95.08	96.97	94.09	100	94.76	92.3	94.53	96.55	69.48	71.67	70.81	69.29	71.33	65.67	71.19	71.96	74.17	69	69.66	68.51	68.06	71.31	72.92	70.63	72.25	68.54	71.39	66.2	70.21
SRR811029	63.25	69.19	67.11	64.71	70.76	68.42	67.86	65.54	69.73	65.56	70.11	72.44	68.33	68.18	68.57	73.1	89.45	93.55	95.05	95.19	96.52	94.94	95.97	100	95.29	95.43	97.22	65.93	71.07	67.93	72.22	67.65	69.01	67.6	68.37	70.68	68.72	68.78	68.85	67.12	64.18	66	66.49	67.32	66.46	66.83	65.91	66.17
SRR815280	68.44	71.48	65.75	67.59	72.67	68.14	68.63	68.92	72.14	64.88	71.99	70.73	73.33	69.93	69.91	75.72	86.93	92.66	92.93	94.82	94.92	92.9	95.42	94.04	100	94.13	95.91	72.01	72.4	72.04	73.75	70.28	68.42	70.13	71.57	77.13	70.76	73.58	72.48	68.16	68.44	69.43	68.08	70.39	66.53	70.03	67.32	69.84
SRR820839	61.43	66.09	66.29	66.35	69.43	68.06	65.9	66.15	66.53	62.05	70.95	74.18	69.53	69.19	70.14	76.08	91.29	95.85	96.32	96.31	97.48	95.35	96.63	95.04	93.26	100	97.14	69.87	73.54	74.89	72.82	70.15	70.55	71.23	73.85	75.6	69.3	72.27	71.04	72.35	69.2	72.35	71.25	72.56	69.76	71.68	68.72	69.3
SRR603834	65.67	66.33	65.75	62.76	69.77	65.4	66.26	68.16	67.35	59.54	67.74	70.08	67.69	66.93	66.67	73.84	87.75	92.28	93.85	95.45	96.5	93.87	94.83	93.85	90	94.14	100	66.67	72.03	70.47	71.13	65.61	66.82	69.59	69.65	73.3	68.2	70.39	67.59	68.85	68.83	72.5	69.15	72.09	67.47	71.76	66.4	72.09
SRR808836	57.91	60.04	59.44	58.84	59.96	56.21	62.3	60.83	62.02	52.25	62.7	61.68	58.6	60.12	60.44	63.79	47.7	55.58	56.77	56.17	57.99	55.51	57	58.58	55.58	54.36	57.58	100	94.66	95.22	95.56	95.45	94.78	95.87	95.01	96.57	95.21	96.54	95.44	55.3	64.82	64.37	60.99	63.33	60.93	64.83	61.02	63.61
SRR598124	60	63.34	64.13	60.41	63.58	62.64	61.54	62.75	64.42	59.46	65.08	66.87	62.67	63.46	64.71	67.8	53.67	52.81	59.46	57.08	57.14	59.79	55.92	59.42	58.89	55.75	58.5	96.96	100	97.49	96.58	96.84	96.31	97.49	97.31	97.44	96.74	97.15	98.06	57.14	62.82	64.83	63.56	62.4	63.54	63.37	63.93	65
SRR817306	60.6	61.15	59.66	56.95	63.68	58.96	62.05	65.98	63.44	51.96	57.36	58.33	58.45	58.21	59.12	61.99	49.38	51.3	57.07	57.46	57.14	56.75	53.92	55.21	54.02	54.55	56.46	92.98	93.79	100	95.19	94.29	93.57	95.46	95.33	94.57	93.02	95.55	94.88	63.9	63.21	61.92	61.08	64.01	60.28	61.85	60.15	63.76
SRR598148	59.39	59.33	59.92	57.6	60.43	56.81	62.54	58.54	60.45	54.41	61.06	59.45	58.4	61.28	62.9	63	51.85	54.89	59.36	62.2	60.61	58.97	59.14	63.38	59.29	58.72	59.77	96.78	94.88	97.44	100	97.9	95.67	96.05	96.48	97.92	97.43	96.81	97.43	59.34	64.96	65.56	62.86	67.34	64.5	65.7	63.84	64.96
SRR603750	57.86	59.06	58.04	55.26	58.22	52.11	58.77	59.63	58.61	50.67	56.03	57.72	56.06	59.34	58.78	60.73	50.6	54.41	58.66	57.91	58	56.02	57.88	59.11	56.3	57.64	58.66	95.15	94.78	95.71	96.46	100	93.42	95.85	95.07	95.94	96.14	96.5	97.07	59.13	64.95	65.45	65.48	65.65	62.05	66.01	63.48	65.65
SRR601695	60.34	61.48	58.41	55.83	58.7	61.7	58.49	59.83	60.67	59.24	65.94	63.89	62.92	65.4	65.37	65.43	49.66	52.6	53.3	54.35	52.97	56.59	54	53.99	54.27	49.73	52.43	97.77	96.53	97.2	98.07	96.69	100	97.02	97.03	97.34	95.89	97.32	97.01	57.82	64.82	64.53	60.95	61.86	65.04	63.45	63.04	62.5
SRR615790	61.31	63.71	63.44	60.21	65.26	59.29	63.05	65.9	66	53.87	63.47	61.4	61.8	63.67	63.35	65.28	52.08	55.84	61.04	58.82	61.88	59.92	61.2	61.39	57.99	58.13	60.13	95.07	94.09	97.19	93.67	95.44	94.32	100	95.83	95.72	95.87	97.62	96.93	58.08	64.85	64.59	61.58	64.94	60.28	65.93	62.25	64.16
